Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumCatalogPurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Year,Tenure,Customer_Active_Days,Total_Spent,Total_Purchases,Web_Ratio,Store_Ratio,Deal_Ratio,Living_Situation,Education_Level,Total_Children,Is_Parent,Age,Website_Activity,Cluster,Total_PromoAccepted
0,33812.0,1,0,86,4,17,19,30,24,39,1,6,0,0,0,0,0,0,0,2012,603,4658,133,8,0.25,0.375,0.25,0,2,1,1,40,8,2,0
2,37040.0,0,0,41,86,2,73,69,38,48,2,8,0,0,0,0,0,0,0,2012,690,4745,316,12,0.3333333333333333,0.4166666666666667,0.08333333333333333,1,0,0,0,43,12,2,0
2,2447.0,1,0,42,1,1,1725,1,1,1,28,1,0,0,0,0,0,0,0,2013,539,4594,1730,43,0.0,0.0,0.3488372093023256,1,0,1,1,46,1,1,0
4,58607.0,0,1,63,867,0,86,0,0,19,3,8,0,1,0,0,0,0,0,2012,553,4608,972,17,0.11764705882352941,0.5294117647058824,0.17647058823529413,1,1,1,1,76,10,3,1
4,65324.0,0,1,0,384,0,102,21,32,5,2,4,0,0,0,0,0,0,0,2014,169,4224,544,20,0.3,0.45,0.15,1,1,1,1,71,10,0,0
2,40689.0,0,1,69,270,3,27,39,6,99,1,8,0,0,0,0,0,0,0,2013,468,4523,444,20,0.35,0.25,0.35,1,0,1,1,74,15,3,0
2,18589.0,0,0,89,6,4,25,15,12,13,1,7,0,0,0,0,0,0,0,2013,543,4598,75,8,0.25,0.375,0.25,0,0,0,0,56,9,2,0
2,53359.0,1,1,4,173,4,30,3,6,41,1,7,0,0,0,0,0,0,0,2013,398,4453,257,14,0.35714285714285715,0.2857142857142857,0.2857142857142857,1,0,2,1,49,12,2,0
2,38360.0,1,0,26,36,2,42,20,21,10,1,3,0,0,0,0,0,0,0,2013,394,4449,131,9,0.2222222222222222,0.4444444444444444,0.2222222222222222,1,0,1,1,36,5,2,0
4,84618.0,0,0,96,684,100,801,21,66,0,9,2,0,0,1,0,0,0,0,2013,219,4274,1672,26,0.23076923076923078,0.38461538461538464,0.038461538461538464,1,1,0,0,60,8,1,1
3,10979.0,0,0,34,8,4,10,2,2,4,0,5,0,0,0,0,0,0,0,2014,38,4093,30,8,0.375,0.375,0.25,0,1,0,0,36,8,0,0
3,38620.0,0,0,56,112,17,44,34,22,89,5,3,0,0,0,0,0,0,0,2013,414,4469,318,11,0.18181818181818182,0.2727272727272727,0.09090909090909091,1,1,0,0,62,5,1,0
2,40548.0,0,1,31,110,0,5,2,0,3,1,5,0,1,0,0,0,0,0,2012,627,4682,120,9,0.2222222222222222,0.4444444444444444,0.2222222222222222,1,0,1,1,55,7,2,1
4,46610.0,0,2,8,96,12,96,33,22,43,1,6,0,0,0,0,0,0,1,2012,608,4663,302,17,0.23529411764705882,0.35294117647058826,0.35294117647058826,0,1,2,1,73,10,3,0
3,68657.0,0,0,4,482,34,471,119,68,22,5,7,0,0,0,0,0,0,0,2013,494,4549,1196,18,0.16666666666666666,0.5,0.05555555555555555,1,1,0,0,79,10,1,0
3,49389.0,1,1,55,40,0,19,2,1,3,0,7,0,0,0,0,0,0,0,2013,304,4359,65,6,0.3333333333333333,0.5,0.16666666666666666,0,1,2,1,74,9,0,0
4,67353.0,0,1,37,702,17,151,0,8,35,6,2,0,0,0,0,0,0,0,2013,180,4235,913,28,0.17857142857142858,0.42857142857142855,0.17857142857142858,1,1,1,1,55,7,3,0
0,23718.0,1,0,76,6,3,14,15,7,36,1,7,0,0,0,0,0,0,0,2013,300,4355,81,9,0.3333333333333333,0.2222222222222222,0.3333333333333333,1,2,1,1,49,10,2,0
2,42429.0,0,1,99,55,0,6,2,0,4,1,5,0,0,0,0,0,0,0,2014,138,4193,67,7,0.14285714285714285,0.42857142857142855,0.2857142857142857,0,0,1,1,52,6,0,0
4,48948.0,0,0,53,437,8,206,160,49,42,10,6,1,0,0,0,0,0,1,2013,513,4568,902,24,0.2916666666666667,0.20833333333333334,0.08333333333333333,0,1,0,0,82,13,3,1
2,80011.0,0,1,3,421,76,536,82,178,102,6,4,0,0,0,0,0,0,0,2013,426,4481,1395,21,0.38095238095238093,0.23809523809523808,0.09523809523809523,1,0,1,1,45,12,3,0
3,20559.0,1,0,88,13,1,29,3,0,7,0,8,0,0,0,0,0,0,0,2013,474,4529,53,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,1,1,1,1,40,10,2,0
2,21994.0,0,1,4,9,0,6,3,1,3,0,5,0,0,0,0,0,0,0,2012,552,4607,22,4,0.0,0.75,0.25,1,0,1,1,68,5,2,0
3,7500.0,1,0,19,3,1,10,3,2,12,0,5,0,0,0,0,0,0,0,2013,270,4325,31,8,0.25,0.375,0.375,1,1,1,1,50,7,2,0
2,79941.0,0,0,72,123,164,266,227,30,174,4,1,0,0,0,0,0,0,0,2014,1,4056,984,16,0.125,0.5625,0.0625,0,0,0,0,49,3,1,0
0,7500.0,0,0,24,3,18,14,15,22,50,1,9,0,0,0,0,0,0,1,2012,597,4652,122,10,0.3,0.3,0.3,1,2,0,0,29,12,2,0
2,41728.0,1,0,92,13,6,15,3,5,13,0,10,0,0,0,0,0,0,0,2013,401,4456,55,5,0.4,0.4,0.2,1,0,1,1,57,12,2,0
4,72550.0,1,1,39,826,50,317,50,38,38,2,8,0,0,0,0,0,0,0,2012,598,4653,1319,28,0.17857142857142858,0.42857142857142855,0.32142857142857145,1,1,2,1,71,13,3,0
2,65486.0,0,1,29,245,19,125,37,67,14,2,2,0,0,0,0,0,0,0,2014,48,4103,507,17,0.23529411764705882,0.5882352941176471,0.058823529411764705,0,0,1,1,68,6,0,0
3,79143.0,0,0,2,650,37,780,27,167,32,9,3,0,0,0,0,0,0,0,2012,687,4742,1693,29,0.20689655172413793,0.4482758620689655,0.034482758620689655,1,1,0,0,61,9,1,0
2,35790.0,1,0,54,12,6,20,30,1,3,0,7,0,0,0,0,0,0,0,2013,543,4598,72,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0,0,1,1,48,9,2,0
2,82582.0,0,0,54,510,120,550,156,40,241,9,1,1,0,0,1,0,0,1,2014,22,4077,1617,21,0.19047619047619047,0.3333333333333333,0.047619047619047616,0,0,0,0,48,5,1,2
2,66373.0,1,1,57,328,9,124,12,24,109,2,3,0,0,0,0,0,0,0,2013,382,4437,606,23,0.17391304347826086,0.43478260869565216,0.30434782608695654,1,0,2,1,47,7,3,0
3,82384.0,0,0,55,984,51,432,180,120,190,10,1,0,0,1,0,0,0,1,2012,587,4642,1957,27,0.1111111111111111,0.48148148148148145,0.037037037037037035,1,1,0,0,70,4,1,1
2,70287.0,0,0,30,295,35,482,121,120,40,5,3,0,0,0,0,0,0,1,2013,453,4508,1093,21,0.23809523809523808,0.47619047619047616,0.047619047619047616,0,0,0,0,59,8,1,0
2,27938.0,1,0,31,13,0,8,2,1,5,0,3,0,0,0,0,0,0,0,2014,62,4117,29,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,0,0,1,1,37,4,0,0
4,55954.0,0,1,63,447,0,28,0,0,43,2,7,0,0,0,0,0,0,0,2014,118,4173,518,19,0.42105263157894735,0.3157894736842105,0.15789473684210525,1,1,1,1,57,15,3,0
3,75777.0,0,0,12,712,26,538,69,13,80,6,1,0,1,1,0,0,0,1,2013,360,4415,1438,21,0.14285714285714285,0.5238095238095238,0.047619047619047616,0,1,0,0,43,4,1,2
2,66653.0,1,1,18,452,18,102,16,18,6,2,3,0,0,0,0,0,0,0,2012,660,4715,612,22,0.18181818181818182,0.5454545454545454,0.18181818181818182,1,0,2,1,50,7,2,0
2,61823.0,0,1,26,523,7,134,37,14,169,2,7,0,0,0,0,0,0,0,2013,496,4551,884,24,0.3333333333333333,0.4166666666666667,0.16666666666666666,0,0,1,1,73,15,3,0
4,67680.0,0,1,8,546,0,48,0,6,6,3,5,0,0,0,0,0,0,0,2013,383,4438,606,19,0.3684210526315789,0.42105263157894735,0.05263157894736842,0,1,1,1,74,12,3,0
2,70666.0,0,0,29,398,40,367,119,122,30,4,4,0,0,0,0,0,0,0,2013,205,4260,1076,16,0.4375,0.25,0.0625,1,0,0,0,77,11,1,0
2,25721.0,1,0,75,1,3,6,3,6,15,1,7,0,0,0,0,0,0,1,2013,404,4459,34,5,0.2,0.4,0.2,1,0,1,1,54,8,2,0
2,32474.0,1,1,0,10,0,1,0,0,0,0,7,0,0,0,0,0,0,0,2014,49,4104,11,4,0.25,0.5,0.25,1,0,2,1,58,8,0,0
0,88194.0,0,1,19,688,14,309,201,24,38,10,5,1,0,0,1,0,0,1,2014,102,4157,1274,32,0.34375,0.3125,0.03125,0,2,1,1,46,16,3,2
2,69096.0,0,1,4,247,49,159,7,82,109,2,4,0,0,0,0,0,0,0,2013,275,4330,653,18,0.2777777777777778,0.5555555555555556,0.05555555555555555,1,0,1,1,67,9,3,0
2,74854.0,1,2,90,856,59,487,58,29,73,5,5,0,0,0,0,0,0,0,2013,447,4502,1562,19,0.10526315789473684,0.2631578947368421,0.3684210526315789,1,0,3,1,55,7,3,0
3,66991.0,0,0,1,496,36,460,189,60,12,8,3,0,0,0,0,0,0,0,2012,656,4711,1253,21,0.19047619047619047,0.2857142857142857,0.14285714285714285,1,1,0,0,71,7,1,0
2,65031.0,0,1,29,258,107,291,84,37,86,3,7,0,0,0,0,0,0,0,2013,469,4524,863,30,0.3333333333333333,0.43333333333333335,0.13333333333333333,1,0,1,1,66,17,3,0
4,60631.0,1,1,88,565,6,65,0,6,19,2,7,0,1,0,0,0,0,0,2013,450,4505,661,24,0.375,0.3333333333333333,0.20833333333333334,1,1,2,1,50,16,3,1
2,28332.0,0,0,58,14,10,13,4,15,9,1,2,0,0,0,0,0,0,0,2014,60,4115,65,8,0.25,0.5,0.125,1,0,0,0,73,4,0,0
2,40246.0,1,0,68,2,1,6,2,1,1,0,6,0,0,0,0,0,0,0,2012,557,4612,13,4,0.25,0.5,0.25,0,0,1,1,48,7,2,0
3,75251.0,0,0,34,721,111,925,97,18,18,6,5,0,0,0,0,0,0,1,2012,671,4726,1890,19,0.3684210526315789,0.2631578947368421,0.05263157894736842,1,1,0,0,53,12,1,0
2,75825.0,0,0,40,1032,105,779,137,105,51,8,4,1,0,0,0,0,0,1,2012,625,4680,2209,22,0.22727272727272727,0.4090909090909091,0.0,0,0,0,0,49,9,1,1
0,26326.0,0,0,12,1,0,5,0,3,9,0,3,0,0,0,0,0,1,0,2013,298,4353,18,4,0.0,0.75,0.25,1,2,0,0,49,3,0,0
2,56046.0,0,0,9,577,0,64,0,0,51,1,8,1,0,0,0,0,0,1,2013,543,4598,692,21,0.47619047619047616,0.38095238095238093,0.09523809523809523,1,0,0,0,60,18,3,1
2,29760.0,1,0,87,64,4,68,7,5,17,1,8,0,0,0,0,0,0,0,2012,669,4724,165,12,0.25,0.3333333333333333,0.3333333333333333,0,0,1,1,40,11,2,0
2,26304.0,1,0,5,4,1,5,2,0,4,0,7,0,0,0,0,0,0,0,2013,371,4426,16,4,0.25,0.5,0.25,1,0,1,1,56,8,2,0
0,23559.0,1,0,87,25,5,19,7,0,23,0,7,0,0,0,0,0,0,0,2013,361,4416,79,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,1,1,52,10,2,0
3,38620.0,0,0,56,112,17,44,34,22,89,5,3,0,0,0,0,0,0,0,2013,414,4469,318,11,0.18181818181818182,0.2727272727272727,0.09090909090909091,1,1,0,0,62,5,1,0
2,81361.0,0,0,18,163,23,424,27,65,76,10,1,0,0,0,0,0,0,0,2014,124,4179,778,27,0.1111111111111111,0.48148148148148145,0.037037037037037035,0,0,0,0,38,4,1,0
2,29440.0,1,1,95,17,8,14,10,4,3,0,7,0,0,0,0,0,0,0,2013,322,4377,56,7,0.14285714285714285,0.5714285714285714,0.2857142857142857,1,0,2,1,65,8,0,0
3,36138.0,1,1,48,130,0,16,0,0,5,1,7,0,1,0,0,0,0,0,2013,348,4403,151,13,0.23076923076923078,0.3076923076923077,0.38461538461538464,1,1,2,1,55,10,2,1
2,50388.0,0,1,3,292,6,37,0,3,34,1,7,0,1,0,1,0,0,1,2014,32,4087,372,17,0.35294117647058826,0.35294117647058826,0.23529411764705882,0,0,1,1,68,13,0,2
2,79593.0,0,0,70,350,60,568,110,133,145,6,2,0,0,1,0,0,0,0,2014,48,4103,1366,19,0.2631578947368421,0.3684210526315789,0.05263157894736842,1,0,0,0,52,7,1,1
2,54178.0,0,1,79,135,9,39,4,0,7,2,2,0,0,0,0,0,0,0,2014,159,4214,194,10,0.2,0.5,0.1,1,0,1,1,58,4,0,0
3,42394.0,1,0,69,15,2,10,0,1,4,0,7,0,0,0,0,0,0,0,2014,98,4153,32,5,0.2,0.6,0.2,0,1,1,1,53,8,0,0
4,23626.0,1,0,84,27,2,14,0,0,0,1,5,0,0,0,0,0,0,0,2014,36,4091,43,10,0.3,0.3,0.3,1,1,1,1,55,8,0,0
2,30096.0,1,0,30,5,3,11,12,5,9,0,6,0,0,0,0,0,0,0,2014,38,4093,45,6,0.3333333333333333,0.5,0.16666666666666666,1,0,1,1,42,8,0,0
2,47916.0,0,1,72,505,0,26,0,0,75,4,6,0,1,0,0,0,0,0,2012,584,4639,606,22,0.3181818181818182,0.2727272727272727,0.22727272727272727,0,0,1,1,65,13,3,1
2,51813.0,1,1,37,51,2,7,0,1,2,0,7,0,0,0,0,0,0,0,2013,444,4499,63,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0,0,2,1,53,9,2,0
0,78497.0,0,0,44,207,26,447,75,0,223,7,2,0,0,0,1,0,0,0,2013,210,4265,978,25,0.2,0.48,0.04,1,2,0,0,74,7,1,1
4,50150.0,0,0,32,135,46,92,65,61,11,2,5,0,0,0,0,0,0,0,2013,374,4429,410,16,0.3125,0.4375,0.125,1,1,0,0,42,10,1,0
0,47823.0,0,1,0,53,1,5,2,1,10,0,8,0,0,0,0,0,0,0,2013,341,4396,72,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0,2,1,1,65,10,2,0
4,34554.0,0,1,43,41,1,6,2,0,5,0,6,0,0,0,0,0,0,0,2014,91,4146,55,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0,1,1,1,66,8,0,0
2,85693.0,0,1,59,386,172,183,185,132,111,5,5,0,0,0,0,0,0,0,2013,435,4490,1169,27,0.3333333333333333,0.4074074074074074,0.07407407407407407,1,0,1,1,46,14,1,0
4,65846.0,0,0,68,562,81,276,80,40,81,3,4,0,0,0,0,0,0,0,2013,408,4463,1120,16,0.375,0.375,0.0625,1,1,0,0,80,10,1,0
2,87195.0,0,0,35,217,76,690,50,26,38,11,1,0,0,0,0,0,0,1,2014,52,4107,1097,20,0.15,0.25,0.05,1,0,0,0,66,4,1,0
1,24594.0,1,0,94,1,3,6,10,0,9,0,5,0,0,0,0,0,0,0,2013,201,4256,29,5,0.2,0.6,0.2,1,2,1,1,46,6,0,0
2,49096.0,1,1,15,144,1,32,2,1,7,1,7,0,0,0,0,0,0,0,2013,278,4333,187,13,0.3076923076923077,0.3076923076923077,0.3076923076923077,1,0,2,1,61,11,0,0
2,52413.0,0,2,56,295,106,271,75,98,65,4,6,0,0,0,0,0,0,0,2013,512,4567,910,26,0.23076923076923078,0.46153846153846156,0.15384615384615385,1,0,2,1,56,12,3,0
2,38557.0,1,0,17,76,3,31,4,4,27,1,7,0,0,0,0,0,0,0,2012,557,4612,145,9,0.3333333333333333,0.3333333333333333,0.2222222222222222,0,0,1,1,47,10,2,0
3,89058.0,0,0,18,454,194,106,31,22,43,4,2,0,0,0,0,0,0,0,2012,569,4624,850,14,0.35714285714285715,0.2857142857142857,0.07142857142857142,1,1,0,0,65,7,1,0
2,77298.0,0,1,46,425,115,292,23,35,79,6,3,0,0,0,0,0,0,0,2013,239,4294,969,24,0.25,0.4583333333333333,0.041666666666666664,1,0,1,1,46,9,1,0
4,68126.0,0,0,40,1332,17,311,23,51,86,4,9,0,1,0,0,0,0,1,2012,596,4651,1820,17,0.4117647058823529,0.29411764705882354,0.058823529411764705,0,1,0,0,34,16,3,1
3,57288.0,0,1,27,527,0,21,0,0,60,1,6,0,1,0,0,0,0,0,2014,4,4059,608,20,0.4,0.4,0.15,1,1,1,1,62,14,0,1
2,86037.0,0,0,95,490,44,125,29,20,22,7,3,0,1,1,0,0,0,1,2013,543,4598,730,25,0.24,0.44,0.04,0,0,0,0,34,9,1,2
4,43974.0,1,0,19,378,0,101,0,0,72,4,7,0,0,0,0,0,0,0,2012,564,4619,551,21,0.2857142857142857,0.2857142857142857,0.23809523809523808,1,1,1,1,45,13,3,0
2,50785.0,1,1,27,64,1,21,0,1,27,1,6,0,0,0,0,0,0,0,2013,292,4347,114,8,0.25,0.375,0.25,0,0,2,1,63,8,0,0
2,90765.0,0,0,25,547,99,812,151,82,33,6,1,0,0,1,1,0,0,0,2014,156,4211,1724,15,0.26666666666666666,0.3333333333333333,0.0,1,0,0,0,55,5,1,2
0,36550.0,1,0,74,47,90,94,123,103,120,1,9,0,0,0,0,0,0,0,2013,495,4550,577,20,0.45,0.25,0.25,1,2,1,1,47,18,3,0
0,30753.0,1,1,85,12,5,25,0,9,30,1,5,0,0,0,0,0,0,0,2013,353,4408,81,7,0.14285714285714285,0.42857142857142855,0.2857142857142857,1,2,2,1,58,6,2,0
2,21918.0,1,0,37,1,6,7,11,5,3,0,6,0,0,0,0,0,0,0,2013,227,4282,33,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,1,0,1,1,56,8,0,0
3,56129.0,0,1,65,320,48,133,39,72,48,2,4,0,0,0,0,0,0,0,2013,374,4429,660,22,0.2727272727272727,0.45454545454545453,0.18181818181818182,1,1,1,1,72,10,3,0
3,32557.0,1,0,13,34,3,29,0,4,10,1,5,0,0,0,0,0,0,1,2014,125,4180,80,9,0.2222222222222222,0.3333333333333333,0.3333333333333333,0,1,1,1,58,7,0,0
3,19510.0,2,0,63,9,0,7,3,4,7,0,7,0,0,0,0,0,0,0,2013,298,4353,30,6,0.16666666666666666,0.5,0.3333333333333333,1,1,2,1,40,8,2,0
2,30992.0,1,0,83,17,0,14,7,3,2,0,7,0,0,0,0,0,0,0,2013,433,4488,43,5,0.2,0.6,0.2,0,0,1,1,49,8,2,0
2,101970.0,0,0,69,722,27,102,44,72,168,8,2,0,1,1,1,0,0,1,2013,474,4529,1135,27,0.2222222222222222,0.48148148148148145,0.0,0,0,0,0,42,8,1,3
0,71488.0,0,0,87,162,33,124,40,28,172,4,1,0,0,0,0,0,0,0,2013,496,4551,559,16,0.1875,0.4375,0.125,1,2,0,0,60,4,1,0
2,79607.0,0,0,37,450,133,951,173,0,216,6,1,0,0,0,0,0,0,1,2013,434,4489,1923,16,0.1875,0.375,0.0625,0,0,0,0,41,4,1,0
3,54348.0,1,1,51,70,0,16,0,0,4,0,6,0,0,0,0,0,0,0,2014,21,4076,90,8,0.25,0.5,0.25,1,1,2,1,72,8,0,0
4,77376.0,1,1,72,492,19,110,16,12,12,3,4,0,0,0,0,0,0,0,2014,50,4105,661,23,0.2608695652173913,0.43478260869565216,0.17391304347826086,1,1,2,1,69,10,0,0
2,62998.0,0,1,10,120,58,73,65,89,58,4,5,0,0,0,0,0,0,0,2013,272,4327,463,19,0.2631578947368421,0.2631578947368421,0.2631578947368421,1,0,1,1,73,10,3,0
3,61331.0,1,1,42,534,5,47,0,5,41,1,8,0,0,0,0,0,0,0,2013,476,4531,632,23,0.4782608695652174,0.2608695652173913,0.21739130434782608,0,1,2,1,67,19,3,0
2,73448.0,0,0,10,236,106,189,23,41,130,2,4,0,0,0,0,0,0,0,2014,139,4194,725,19,0.3684210526315789,0.47368421052631576,0.05263157894736842,1,0,0,0,56,11,1,0
4,41551.0,1,1,51,220,0,33,3,0,23,1,8,0,0,0,0,0,0,0,2013,319,4374,279,16,0.3125,0.3125,0.3125,1,1,2,1,61,13,2,0
4,62981.0,0,0,21,796,14,590,38,44,0,5,3,0,1,0,0,0,0,0,2013,469,4524,1482,23,0.17391304347826086,0.5652173913043478,0.043478260869565216,1,1,0,0,58,7,1,1
1,9548.0,1,0,31,0,1,3,10,6,9,0,8,0,0,0,0,0,0,0,2012,690,4745,29,6,0.16666666666666666,0.5,0.3333333333333333,0,2,1,1,49,9,2,0
4,33762.0,2,1,61,53,1,34,2,0,16,2,8,0,0,0,0,0,0,0,2013,357,4412,106,9,0.2222222222222222,0.2222222222222222,0.3333333333333333,1,1,3,1,66,10,2,0
4,35860.0,1,1,37,15,0,8,4,2,20,1,5,1,0,0,0,0,0,1,2014,41,4096,49,6,0.16666666666666666,0.3333333333333333,0.3333333333333333,0,1,2,1,52,6,0,1
4,36921.0,1,1,74,17,1,12,3,1,4,0,7,0,0,0,0,0,0,0,2013,336,4391,38,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0,1,2,1,60,9,0,0
3,92859.0,0,0,46,962,61,921,52,61,20,4,2,0,0,0,0,0,0,0,2012,618,4673,2077,22,0.22727272727272727,0.5454545454545454,0.045454545454545456,0,1,0,0,33,7,1,0
3,65104.0,0,1,4,738,0,232,13,20,50,5,7,0,0,0,0,0,0,1,2013,227,4282,1053,17,0.17647058823529413,0.4117647058823529,0.11764705882352941,1,1,1,1,49,10,3,0
2,86111.0,0,0,73,399,28,756,36,40,126,7,2,0,0,0,0,0,0,0,2013,436,4491,1385,23,0.21739130434782608,0.43478260869565216,0.043478260869565216,1,0,0,0,63,7,1,0
4,68352.0,0,1,47,614,16,132,43,33,33,5,6,0,0,0,0,0,0,0,2013,305,4360,871,25,0.32,0.36,0.12,0,1,1,1,51,14,3,0
2,41883.0,1,0,13,32,34,41,73,16,116,2,7,0,0,0,0,0,0,0,2013,467,4522,312,12,0.3333333333333333,0.25,0.25,1,0,1,1,37,11,2,0
2,59809.0,0,2,36,598,16,141,32,41,49,3,8,0,0,0,0,0,0,0,2012,619,4674,877,15,0.2,0.4,0.2,1,0,2,1,49,11,3,0
2,23957.0,1,0,47,2,1,18,20,11,16,0,6,0,0,0,0,0,0,1,2012,609,4664,68,6,0.3333333333333333,0.5,0.16666666666666666,1,0,1,1,50,8,2,0
2,38547.0,1,0,49,6,1,10,0,1,4,0,8,0,0,0,0,0,1,0,2013,305,4360,22,4,0.25,0.5,0.25,1,0,1,1,44,9,2,0
0,35688.0,2,1,94,73,3,90,12,1,32,1,8,0,0,0,0,0,0,0,2012,676,4731,211,16,0.25,0.25,0.4375,1,2,3,1,52,12,2,0
3,49605.0,0,0,65,42,16,29,12,20,8,1,3,0,0,0,0,0,0,0,2014,8,4063,127,8,0.25,0.5,0.125,1,1,0,0,59,5,0,0
3,59354.0,0,2,59,295,21,78,39,13,13,4,3,0,0,0,0,0,0,0,2014,66,4121,459,16,0.25,0.4375,0.0625,1,1,2,1,72,7,0,0
2,65747.0,0,1,96,346,17,48,23,13,13,1,6,0,1,0,0,0,0,0,2014,114,4169,460,19,0.42105263157894735,0.3157894736842105,0.21052631578947367,1,0,1,1,56,14,3,1
0,46344.0,0,1,28,233,20,57,8,20,91,1,7,0,0,0,0,0,0,0,2012,562,4617,429,17,0.4117647058823529,0.29411764705882354,0.23529411764705882,1,2,1,1,53,14,3,0
2,34176.0,1,0,12,5,7,24,19,14,20,0,6,0,0,0,0,0,0,0,2014,48,4103,89,11,0.2727272727272727,0.36363636363636365,0.36363636363636365,0,0,1,1,37,9,0,0
4,61010.0,0,1,57,888,0,57,0,0,76,5,5,0,0,0,0,0,0,0,2012,628,4683,1021,26,0.3076923076923077,0.4230769230769231,0.07692307692307693,1,1,1,1,73,13,3,0
2,69372.0,0,0,10,997,26,269,34,13,42,4,4,0,1,1,0,0,0,1,2013,495,4550,1381,21,0.47619047619047616,0.2857142857142857,0.047619047619047616,1,0,0,0,76,14,3,2
